索引|内容|命名实体|关系事实|标签
1|7月初，在天气非常炎热的季节，将近傍晚，有个年轻人走出他在某巷二房东那儿租到的小屋，来到街上，慢腾腾往К桥走去，仿佛犹疑不决似的。|"{""命名实体"": [{""文本"": ""7月初"", ""类型"": ""时间""}, {""文本"": ""天气非常炎热"", ""类型"": ""天气""}, {""文本"": ""将近傍晚"", ""类型"": ""时间""}, {""文本"": ""年轻人"", ""类型"": ""人物""}, {""文本"": ""某巷"", ""类型"": ""地点""}, {""文本"": ""二房东"", ""类型"": ""人物""}, {""文本"": ""小屋"", ""类型"": ""地点""}, {""文本"": ""街上"", ""类型"": ""地点""}, {""文本"": ""К桥"", ""类型"": ""地点""}, {""文本"": ""慢腾腾往К桥走去"", ""类型"": ""行动""}, {""文本"": ""仿佛犹疑不决似的"", ""类型"": ""描述""}]}"|"{
  ""关系事实"": [
    {
      ""头实体"": {
        ""文本"": ""7月初"",
        ""类型"": ""时间""
      },
      ""关系"": {
        ""文本"": ""属于"",
        ""方向"": "">""
      },
      ""尾实体"": {
        ""文本"": ""天气非常炎热"",
        ""类型"": ""天气""
      }
    },
    {
      ""头实体"": {
        ""文本"": ""将近傍晚"",
        ""类型"": ""时间""
      },
      ""关系"": {
        ""文本"": ""属于"",
        ""方向"": "">""
      },
      ""尾实体"": {
        ""文本"": ""7月初"",
        ""类型"": ""时间""
      }
    },
    {
      ""头实体"": {
        ""文本"": ""年轻人"",
        ""类型"": ""人物""
      },
      ""关系"": {
        ""文本"": ""走出"",
        ""方向"": "">""
      },
      ""尾实体"": {
        ""文本"": ""小屋"",
        ""类型"": ""地点""
      }
    },
    {
      ""头实体"": {
        ""文本"": ""某巷"",
        ""类型"": ""地点""
      },
      ""关系"": {
        ""文本"": ""位于"",
        ""方向"": "">""
      },
      ""尾实体"": {
        ""文本"": ""小屋"",
        ""类型"": ""地点""
      }
    },
    {
      ""头实体"": {
        ""文本"": ""二房东"",
        ""类型"": ""人物""
      },
      ""关系"": {
        ""文本"": ""出租"",
        ""方向"": "">""
      },
      ""尾实体"": {
        ""文本"": ""小屋"",
        ""类型"": ""地点""
      }
    },
    {
      ""头实体"": {
        ""文本"": ""年轻人"",
        ""类型"": ""人物""
      },
      ""关系"": {
        ""文本"": ""来到"",
        ""方向"": "">""
      },
      ""尾实体"": {
        ""文本"": ""街上"",
        ""类型"": ""地点""
      }
    },
    {
      ""头实体"": {
        ""文本"": ""年轻人"",
        ""类型"": ""人物""
      },
      ""关系"": {
        ""文本"": ""走向"",
        ""方向"": "">""
      },
      ""尾实体"": {
        ""文本"": ""К桥"",
        ""类型"": ""地点""
      }
    },
    {
      ""头实体"": {
        ""文本"": ""慢腾腾往К桥走去"",
        ""类型"": ""行动""
      },
      ""关系"": {
        ""文本"": ""描述"",
        ""方向"": "">""
      },
      ""尾实体"": {
        ""文本"": ""仿佛犹疑不决似的"",
        ""类型"": ""描述""
      }
    }
  ]
}"|
2|他总算躲开了在楼梯上跟女房东见面。|"{""命名实体"": [{""文本"": ""他"", ""类型"": ""人物""}, {""文本"": ""女房东"", ""类型"": ""人物""}, {""文本"": ""楼梯上"", ""类型"": ""地点""}, {""文本"": ""躲开"", ""类型"": ""行动""}, {""文本"": ""见面"", ""类型"": ""行动""}]}"|"{
  ""关系事实"": [
    {
      ""头实体"": {
        ""文本"": ""他"",
        ""类型"": ""人物""
      },
      ""关系"": {
        ""文本"": ""躲开"",
        ""方向"": "">""
      },
      ""尾实体"": {
        ""文本"": ""女房东"",
        ""类型"": ""人物""
      }
    },
    {
      ""头实体"": {
        ""文本"": ""他"",
        ""类型"": ""人物""
      },
      ""关系"": {
        ""文本"": ""躲开"",
        ""方向"": "">""
      },
      ""尾实体"": {
        ""文本"": ""见面"",
        ""类型"": ""行动""
      }
    },
    {
      ""头实体"": {
        ""文本"": ""楼梯上"",
        ""类型"": ""地点""
      },
      ""关系"": {
        ""文本"": ""在"",
        ""方向"": ""-""
      },
      ""尾实体"": {
        ""文本"": ""见面"",
        ""类型"": ""行动""
      }
    }
  ]
}"|
3|他的小屋在一所很高的五层楼房里，与其说像个住人的房间，不如说像个立柜。|"{""命名实体"": [{""文本"": ""他"", ""类型"": ""人物""}, {""文本"": ""小屋"", ""类型"": ""地点""}, {""文本"": ""五层楼房"", ""类型"": ""地点""}]}"|"{
  ""关系事实"": [
    {
      ""头实体"": {
        ""文本"": ""他"",
        ""类型"": ""人物""
      },
      ""关系"": {
        ""文本"": ""拥有"",
        ""方向"": "">""
      },
      ""尾实体"": {
        ""文本"": ""小屋"",
        ""类型"": ""地点""
      }
    },
    {
      ""头实体"": {
        ""文本"": ""小屋"",
        ""类型"": ""地点""
      },
      ""关系"": {
        ""文本"": ""位于"",
        ""方向"": "">""
      },
      ""尾实体"": {
        ""文本"": ""五层楼房"",
        ""类型"": ""地点""
      }
    }
  ]
}"|
4|他的女房东租给他那间小屋住，给他包伙食，为他打扫房间。|"{""命名实体"": [{""文本"": ""他"", ""类型"": ""人物""}, {""文本"": ""女房东"", ""类型"": ""人物""}, {""文本"": ""小屋"", ""类型"": ""地点""}, {""文本"": ""伙食"", ""类型"": ""事物""}, {""文本"": ""房间"", ""类型"": ""地点""}, {""文本"": ""租"", ""类型"": ""行动""}, {""文本"": ""包"", ""类型"": ""行动""}, {""文本"": ""打扫"", ""类型"": ""行动""}]}"|"{
  ""关系事实"": [
    {
      ""头实体"": {
        ""文本"": ""女房东"",
        ""类型"": ""人物""
      },
      ""关系"": {
        ""文本"": ""租"",
        ""方向"": "">""
      },
      ""尾实体"": {
        ""文本"": ""小屋"",
        ""类型"": ""地点""
      }
    },
    {
      ""头实体"": {
        ""文本"": ""女房东"",
        ""类型"": ""人物""
      },
      ""关系"": {
        ""文本"": ""包"",
        ""方向"": "">""
      },
      ""尾实体"": {
        ""文本"": ""伙食"",
        ""类型"": ""事物""
      }
    },
    {
      ""头实体"": {
        ""文本"": ""女房东"",
        ""类型"": ""人物""
      },
      ""关系"": {
        ""文本"": ""打扫"",
        ""方向"": "">""
      },
      ""尾实体"": {
        ""文本"": ""房间"",
        ""类型"": ""地点""
      }
    }
  ]
}"|
5|她自己住在下边一层楼单独一套房子里，每次他上街，一定要经过女房东的厨房，厨房的门几乎总是朝楼梯敞开着。|"{""命名实体"": [{""文本"": ""她"", ""类型"": ""人物""}, {""文本"": ""他"", ""类型"": ""人物""}, {""文本"": ""下边一层楼"", ""类型"": ""地点""}, {""文本"": ""单独一套房子里"", ""类型"": ""地点""}, {""文本"": ""街"", ""类型"": ""地点""}, {""文本"": ""女房东的厨房"", ""类型"": ""地点""}, {""文本"": ""厨房的门"", ""类型"": ""地点""}, {""文本"": ""楼梯"", ""类型"": ""地点""}, {""文本"": ""上街"", ""类型"": ""行动""}, {""文本"": ""经过"", ""类型"": ""行动""}, {""文本"": ""敞开着"", ""类型"": ""描述""}]}"|"{
  ""关系事实"": [
    {
      ""头实体"": {
        ""文本"": ""她"",
        ""类型"": ""人物""
      },
      ""关系"": {
        ""文本"": ""住在"",
        ""方向"": "">""
      },
      ""尾实体"": {
        ""文本"": ""下边一层楼"",
        ""类型"": ""地点""
      }
    },
    {
      ""头实体"": {
        ""文本"": ""她"",
        ""类型"": ""人物""
      },
      ""关系"": {
        ""文本"": ""住在"",
        ""方向"": "">""
      },
      ""尾实体"": {
        ""文本"": ""单独一套房子里"",
        ""类型"": ""地点""
      }
    },
    {
      ""头实体"": {
        ""文本"": ""他"",
        ""类型"": ""人物""
      },
      ""关系"": {
        ""文本"": ""上街"",
        ""方向"": "">""
      },
      ""尾实体"": {
        ""文本"": ""街"",
        ""类型"": ""地点""
      }
    },
    {
      ""头实体"": {
        ""文本"": ""他"",
        ""类型"": ""人物""
      },
      ""关系"": {
        ""文本"": ""经过"",
        ""方向"": "">""
      },
      ""尾实体"": {
        ""文本"": ""女房东的厨房"",
        ""类型"": ""地点""
      }
    },
    {
      ""头实体"": {
        ""文本"": ""厨房的门"",
        ""类型"": ""地点""
      },
      ""关系"": {
        ""文本"": ""朝"",
        ""方向"": "">""
      },
      ""尾实体"": {
        ""文本"": ""楼梯"",
        ""类型"": ""地点""
      }
    },
    {
      ""头实体"": {
        ""文本"": ""厨房的门"",
        ""类型"": ""地点""
      },
      ""关系"": {
        ""文本"": ""敞开着"",
        ""方向"": ""-""
      },
      ""尾实体"": {
        ""文本"": ""敞开着"",
        ""类型"": ""描述""
      }
    }
  ]
}"|
6|年轻人每次路过，心里总是生出一种不好受的胆怯感觉，而且他总是为此害臊，皱起眉头。|"{""命名实体"": [{""文本"": ""年轻人"", ""类型"": ""人物""}, {""文本"": ""胆怯感觉"", ""类型"": ""描述""}, {""文本"": ""害臊"", ""类型"": ""描述""}, {""文本"": ""皱起眉头"", ""类型"": ""行动""}]}"|"{
  ""关系事实"": [
    {
      ""头实体"": {
        ""文本"": ""年轻人"",
        ""类型"": ""人物""
      },
      ""关系"": {
        ""文本"": ""生出"",
        ""方向"": "">""
      },
      ""尾实体"": {
        ""文本"": ""胆怯感觉"",
        ""类型"": ""描述""
      }
    },
    {
      ""头实体"": {
        ""文本"": ""年轻人"",
        ""类型"": ""人物""
      },
      ""关系"": {
        ""文本"": ""为此"",
        ""方向"": "">""
      },
      ""尾实体"": {
        ""文本"": ""害臊"",
        ""类型"": ""描述""
      }
    },
    {
      ""头实体"": {
        ""文本"": ""年轻人"",
        ""类型"": ""人物""
      },
      ""关系"": {
        ""文本"": ""皱起"",
        ""方向"": "">""
      },
      ""尾实体"": {
        ""文本"": ""皱起眉头"",
        ""类型"": ""行动""
      }
    }
  ]
}"|
7|他欠女房东不少债，怕跟她见面。|"{""命名实体"": [{""文本"": ""他"", ""类型"": ""人物""}, {""文本"": ""女房东"", ""类型"": ""人物""}]}"|"{
  ""关系事实"": [
    {
      ""头实体"": {
        ""文本"": ""他"",
        ""类型"": ""人物""
      },
      ""关系"": {
        ""文本"": ""欠债"",
        ""方向"": "">""
      },
      ""尾实体"": {
        ""文本"": ""女房东"",
        ""类型"": ""人物""
      }
    },
    {
      ""头实体"": {
        ""文本"": ""他"",
        ""类型"": ""人物""
      },
      ""关系"": {
        ""文本"": ""怕见面"",
        ""方向"": "">""
      },
      ""尾实体"": {
        ""文本"": ""女房东"",
        ""类型"": ""人物""
      }
    }
  ]
}"|
8|这倒不是因为他胆小怕事，事实甚至完全相反。|"{""命名实体"": [{""文本"": ""他"", ""类型"": ""人物""}]}"||
9|最近一段时期，他很容易发脾气，心情紧张，近似患了疑心病。|"{""命名实体"": [{""文本"": ""他"", ""类型"": ""人物""}, {""文本"": ""最近一段时期"", ""类型"": ""时间""}, {""文本"": ""发脾气"", ""类型"": ""行动""}, {""文本"": ""心情紧张"", ""类型"": ""描述""}, {""文本"": ""疑心病"", ""类型"": ""描述""}]}"|"{
  ""关系事实"": [
    {
      ""头实体"": {
        ""文本"": ""他"",
        ""类型"": ""人物""
      },
      ""关系"": {
        ""文本"": ""在"",
        ""方向"": "">""
      },
      ""尾实体"": {
        ""文本"": ""最近一段时期"",
        ""类型"": ""时间""
      }
    },
    {
      ""头实体"": {
        ""文本"": ""他"",
        ""类型"": ""人物""
      },
      ""关系"": {
        ""文本"": ""容易"",
        ""方向"": "">""
      },
      ""尾实体"": {
        ""文本"": ""发脾气"",
        ""类型"": ""行动""
      }
    },
    {
      ""头实体"": {
        ""文本"": ""他"",
        ""类型"": ""人物""
      },
      ""关系"": {
        ""文本"": ""感到"",
        ""方向"": "">""
      },
      ""尾实体"": {
        ""文本"": ""心情紧张"",
        ""类型"": ""描述""
      }
    },
    {
      ""头实体"": {
        ""文本"": ""他"",
        ""类型"": ""人物""
      },
      ""关系"": {
        ""文本"": ""近似"",
        ""方向"": "">""
      },
      ""尾实体"": {
        ""文本"": ""疑心病"",
        ""类型"": ""描述""
      }
    }
  ]
}"|
10|他专心想自己的心事，躲开大家，不但怕跟女房东见面，甚至怕遇见任何人。|"{""命名实体"": [{""文本"": ""他"", ""类型"": ""人物""}, {""文本"": ""女房东"", ""类型"": ""人物""}, {""文本"": ""任何人"", ""类型"": ""人物""}]}"|"{
  ""关系事实"": [
    {
      ""头实体"": {
        ""文本"": ""他"",
        ""类型"": ""人物""
      },
      ""关系"": {
        ""文本"": ""躲开"",
        ""方向"": "">""
      },
      ""尾实体"": {
        ""文本"": ""女房东"",
        ""类型"": ""人物""
      }
    },
    {
      ""头实体"": {
        ""文本"": ""他"",
        ""类型"": ""人物""
      },
      ""关系"": {
        ""文本"": ""怕遇见"",
        ""方向"": "">""
      },
      ""尾实体"": {
        ""文本"": ""任何人"",
        ""类型"": ""人物""
      }
    }
  ]
}"|
