句子|内容|标签
1|7月初，在天气非常炎热的季节，将近傍晚，有个年轻人走出他在某巷二房东那儿租到的小屋，来到街上，慢腾腾往К桥走去，仿佛犹疑不决似的。|
2|他总算躲开了在楼梯上跟女房东见面。|
3|他的小屋在一所很高的五层楼房里，与其说像个住人的房间，不如说像个立柜。|
4|他的女房东租给他那间小屋住，给他包伙食，为他打扫房间。|
5|她自己住在下边一层楼单独一套房子里，每次他上街，一定要经过女房东的厨房，厨房的门几乎总是朝楼梯敞开着。|
6|年轻人每次路过，心里总是生出一种不好受的胆怯感觉，而且他总是为此害臊，皱起眉头。|
7|他欠女房东不少债，怕跟她见面。|
8|这倒不是因为他胆小怕事，事实甚至完全相反。|
9|最近一段时期，他很容易发脾气，心情紧张，近似患了疑心病。|
10|他专心想自己的心事，躲开大家，不但怕跟女房东见面，甚至怕遇见任何人。|
11|他一直穷得要命，可是近来就连这种窘况也不再惹得他烦恼。|
12|他完全不再做他那些绝对必要的事，也不愿意做了。|
13|实际上，不管哪个女房东，也不管她打算怎样跟他为难，他一概不怕。|
14|不过，要他在楼梯上停住脚，听女房东东家长西家短地说一堆跟他不相干的废话，逼着他还账，威胁他，向他发牢骚，同时他得设法抽身走掉，支吾搪塞，说些假话，那可万万不行，宁可想办法像猫似的蹿下楼梯，溜掉了事，免得让人看见。|
15|然而这一回他走出来，到了街上，却不由得暗自吃惊：原来他是害怕跟他的女债主见面的。|
16|“我正起意干一件那么大的事，不料连这样的小事我都害怕！”|
17|他暗自想道，古怪地微微一笑。|
18|“嗯……”|
19|“是啊……”|
20|“一个人本来可以把样样东西都捞到手，可是只因为胆小，就全放过去，什么也没抓到……”|
21|“这真是明显的道理……”|
22|“我倒很想弄清楚人们最怕的究竟是什么。”|
23|“他们最怕的就是采取新的做法，说出自己心里新的话语……”|
24|“不过呢，我唠叨得太多了。”|
25|“我什么事也没干，就是因为我老是唠叨。”|
26|“然而事情也许是这样：因为我什么事也不干，才唠唠叨叨。”|
27|“最近这一个月来，我学会了唠唠叨叨，一连几昼夜躺在屋角里，想啊想的……”|
28|“尽想些戈罗赫王 [1]的事。”|
29|“咦，现在我去干什么？”|
30|“难道我干得出那种事吗？”|
31|“难道那种事是认真想干的？”|
32|“根本就不是认真想干。”|
33|“无非想入非非，藉以安慰自己，闹着玩罢了！”|
34|“对了，也许就是闹着玩的！”|
35|街上热得可怕，而且很闷，行人拥挤，到处是石灰浆、脚手架、砖头、灰尘，弥漫着每个没有能力在城外租别墅的彼得堡人都很熟悉的那种特别的夏天臭气，这些东西加在一起，弄得年轻人本来已经不正常的神经越发难受了。|
